iter	Passed	Remaining
859	4732	39288
860	4737	39283
861	4743	39283
862	4749	39275
863	4754	39269
864	4759	39261
865	4765	39253
866	4770	39245
867	4775	39238
868	4780	39232
869	4786	39225
870	4791	39215
871	4796	39208
872	4801	39198
873	4806	39187
874	4811	39179
875	4816	39172
876	4822	39164
877	4827	39158
878	4832	39148
879	4837	39137
880	4842	39129
881	4847	39119
882	4851	39107
883	4856	39096
884	4862	39088
885	4866	39078
886	4871	39066
887	4877	39059
888	4881	39049
889	4886	39038
890	4891	39031
891	4896	39020
892	4901	39010
893	4906	39001
894	4911	38993
895	4916	38983
896	4921	38973
897	4926	38964
898	4931	38953
899	4936	38942
900	4941	38936
901	4946	38925
902	4951	38915
903	4957	38916
904	4962	38905
905	4967	38895
906	4972	38889
907	4977	38879
908	4982	38869
909	4987	38861
910	4992	38852
911	4998	38845
912	5003	38836
913	5008	38828
914	5013	38818
915	5018	38808
916	5024	38808
917	5029	38800
918	5034	38791
919	5039	38784
920	5045	38777
921	5049	38767
922	5055	38759
923	5060	38750
924	5065	38740
925	5070	38735
926	5075	38727
927	5080	38717
928	5085	38708
929	5090	38701
930	5095	38691
931	5100	38680
932	5105	38674
933	5110	38663
934	5115	38653
935	5120	38646
936	5125	38636
937	5130	38626
938	5135	38618
939	5141	38612
940	5145	38602
941	5151	38594
942	5155	38584
943	5160	38574
944	5165	38563
945	5170	38555
946	5175	38547
947	5180	38536
948	5185	38528
949	5190	38518
950	5195	38507
951	5200	38501
952	5205	38491
953	5210	38481
954	5215	38477
955	5221	38472
956	5226	38465
957	5232	38459
958	5237	38450
959	5241	38439
960	5246	38429
961	5252	38423
962	5256	38413
963	5261	38403
964	5267	38402
965	5272	38392
966	5279	38395
967	5285	38393
968	5290	38387
969	5295	38377
970	5300	38370
971	5305	38360
972	5310	38350
973	5315	38343
974	5320	38332
975	5325	38322
976	5330	38315
977	5335	38305
978	5339	38296
979	5344	38285
980	5350	38281
981	5355	38271
982	5359	38260
983	5365	38257
984	5370	38250
985	5375	38239
986	5380	38233
987	5385	38225
988	5390	38213
989	5395	38207
990	5400	38197
991	5405	38186
992	5410	38177
993	5415	38169
994	5420	38159
995	5424	38148
996	5431	38153
997	5436	38144
998	5441	38134
999	5447	38134
1000	5452	38125
1001	5457	38116
1002	5463	38110
1003	5467	38101
1004	5472	38091
1005	5477	38084
1006	5482	38074
1007	5487	38065
1008	5492	38058
1009	5497	38049
1010	5502	38040
1011	5507	38029
1012	5512	38023
1013	5517	38013
1014	5522	38002
1015	5527	37994
1016	5532	37985
1017	5537	37979
1018	5542	37972
1019	5547	37963
1020	5552	37952
1021	5557	37942
1022	5562	37934
1023	5566	37924
1024	5571	37914
1025	5577	37914
1026	5582	37905
1027	5587	37896
1028	5593	37890
1029	5598	37882
1030	5602	37872
1031	5608	37864
1032	5612	37855
1033	5617	37844
1034	5622	37837
1035	5627	37829
1036	5632	37819
1037	5637	37810
1038	5642	37805
1039	5647	37795
1040	5652	37786
1041	5659	37788
1042	5664	37780
1043	5671	37788
1044	5676	37781
1045	5681	37772
1046	5686	37764
1047	5691	37758
1048	5697	37750
1049	5702	37742
1050	5707	37735
1051	5712	37727
1052	5717	37719
1053	5722	37714
1054	5727	37706
1055	5732	37697
1056	5738	37691
1057	5743	37684
1058	5748	37675
1059	5753	37667
1060	5758	37658
